File Title: ,C:\Users\slank\Desktop\LOG01.LOG
File Name: ,C:\Users\slank\Desktop\LOG01.LOG
Start Time:,9/28/2017 3:56:30 PM
End Time:,10/15/2017 4:54:53 PM
Interval:,15
Records:,54663
Cyclic Flags:,2
Error Flags:,8208

Date/Time,Velocity (ft/s),Error #
9/28/2017 3:56:30 PM,-0.061900824766143,0
9/28/2017 3:56:44 PM,-6.21238986131086E-02,0
9/28/2017 3:56:59 PM,-6.14975489108481E-02,0
9/28/2017 3:57:14 PM,-6.10119270865879E-02,0
9/28/2017 3:57:30 PM,-5.92731673081444E-02,0
9/28/2017 3:57:45 PM,-5.87293893349923E-02,0
9/28/2017 3:57:59 PM,-5.70037416767856E-02,0
9/28/2017 3:58:15 PM,-3.47567582630421,0
9/28/2017 3:58:29 PM,-3.46570867466854,0
9/28/2017 3:58:44 PM,-2.51802441143767,0
9/28/2017 3:59:29 PM,0,2
9/28/2017 3:59:44 PM,-0.35306927877326,0
9/28/2017 3:59:59 PM,0,2
9/28/2017 4:00:14 PM,-0.339787049643207,2
9/28/2017 4:00:29 PM,-0.286910174563118,2
9/28/2017 4:00:44 PM,0.473588014837512,0
9/28/2017 4:01:00 PM,0,2
9/28/2017 4:01:14 PM,0.396145220758666,0
9/28/2017 4:01:29 PM,0.396145220758666,2
9/28/2017 4:01:44 PM,0.396145220758666,2
9/28/2017 4:01:59 PM,0.415621953424353,0
9/28/2017 4:02:14 PM,0.403943601380992,0
9/28/2017 4:02:29 PM,0.413342386569821,0
9/28/2017 4:02:44 PM,0,2
9/28/2017 4:02:59 PM,0.411122065633871,2
9/28/2017 4:03:14 PM,0.399038581498471,2
9/28/2017 4:03:29 PM,0,2
9/28/2017 4:03:44 PM,0.399038581498471,1
9/28/2017 4:04:00 PM,0,1
9/28/2017 4:04:14 PM,0,3
9/28/2017 4:04:29 PM,0,3
9/28/2017 4:04:44 PM,0.398093499924261,0
9/28/2017 4:04:59 PM,0.398093499924261,3
9/28/2017 4:05:14 PM,0,2
9/28/2017 4:05:29 PM,0.398093499924261,2
9/28/2017 4:05:45 PM,0.398093499924261,2
9/28/2017 4:05:59 PM,1.45798007331847,2
9/28/2017 4:06:14 PM,3.3280875540909,0
9/28/2017 4:06:30 PM,18.1913789074601,0
9/28/2017 4:06:44 PM,18.1913789074601,2
9/28/2017 4:06:59 PM,0,5
9/28/2017 4:07:14 PM,6.73220380017139E-02,0
9/28/2017 4:07:29 PM,6.35241960585498E-02,0
9/28/2017 4:07:44 PM,5.70700214608425E-02,0
9/28/2017 4:07:59 PM,5.23827346311301E-02,0
9/28/2017 4:08:14 PM,4.82267699228677E-02,0
9/28/2017 4:08:29 PM,4.57640507894697E-02,0
9/28/2017 4:08:45 PM,4.36088017095851E-02,0
9/28/2017 4:08:59 PM,4.20109638500719E-02,0
9/28/2017 4:09:14 PM,4.16103355730441E-02,0
9/28/2017 4:09:29 PM,4.03234323700042E-02,0
9/28/2017 4:09:44 PM,3.99719451110029E-02,0
9/28/2017 4:09:59 PM,0.039457470655076,0
9/28/2017 4:10:14 PM,4.01085417578899E-02,0
9/28/2017 4:10:31 PM,4.05028584706875E-02,0
9/28/2017 4:10:44 PM,4.01565572791713E-02,0
9/28/2017 4:10:59 PM,3.99738263358818E-02,0
9/28/2017 4:11:14 PM,4.03975480265876E-02,0
9/28/2017 4:11:30 PM,4.10891004048013E-02,0
9/28/2017 4:11:45 PM,4.08513113365625E-02,0
9/28/2017 4:12:00 PM,4.14704911785454E-02,0
9/28/2017 4:12:15 PM,4.14234516659482E-02,0
9/28/2017 4:12:29 PM,0.040973653702654,0
9/28/2017 4:12:44 PM,4.04629678346512E-02,0
9/28/2017 4:12:59 PM,4.07450784282013E-02,0
9/28/2017 4:13:15 PM,4.02532129153862E-02,0
9/28/2017 4:13:29 PM,4.00109906536093E-02,0
9/28/2017 4:13:44 PM,3.98002746578225E-02,0
9/28/2017 4:14:00 PM,3.95667222645301E-02,0
9/28/2017 4:14:14 PM,3.96618116966935E-02,0
9/28/2017 4:14:29 PM,3.95357006954327E-02,0
9/28/2017 4:14:44 PM,3.98851138167067E-02,0
9/28/2017 4:14:59 PM,3.93306573225738E-02,0
9/28/2017 4:15:15 PM,3.80979868699589E-02,0
9/28/2017 4:15:29 PM,3.86261563597024E-02,0
9/28/2017 4:15:44 PM,3.81711517764223E-02,0
9/28/2017 4:15:59 PM,3.83065286427779E-02,0
9/28/2017 4:16:14 PM,3.86594986698477E-02,0
9/28/2017 4:16:29 PM,3.81713320849414E-02,0
9/28/2017 4:16:44 PM,3.72144095440229E-02,0
9/28/2017 4:17:00 PM,3.65582191255415E-02,0
9/28/2017 4:17:14 PM,3.57000297767601E-02,0
9/28/2017 4:17:30 PM,3.53341407712669E-02,0
9/28/2017 4:17:44 PM,3.50209193448219E-02,0
9/28/2017 4:17:59 PM,3.56090568515577E-02,0
9/28/2017 4:18:15 PM,3.56421120627919E-02,0
9/28/2017 4:18:29 PM,3.56670227143553E-02,0
9/28/2017 4:18:44 PM,3.54706077822271E-02,0
9/28/2017 4:18:59 PM,3.58082484509766E-02,0
9/28/2017 4:19:14 PM,3.53604538109516E-02,0
9/28/2017 4:19:29 PM,3.53791628880918E-02,0
9/28/2017 4:19:45 PM,0.035211959669878,0
9/28/2017 4:20:00 PM,3.51313089741199E-02,0
9/28/2017 4:20:15 PM,3.52572519206804E-02,0
